epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4374.46,1.13487,1.00865,1.25966,0.59759,0.4925,0.54881,0.38762,1.12988,0.98052,1.22114,0.005842,0.005842,0.005842
44,4627.95,1.12075,1.00789,1.25331,0.60058,0.48891,0.54998,0.38866,1.11772,0.97294,1.21097,0.005743,0.005743,0.005743
45,4718,1.1337,0.99764,1.25217,0.61175,0.4933,0.54931,0.38555,1.12439,0.9705,1.21645,0.005644,0.005644,0.005644
46,4812.67,1.12437,0.99617,1.25172,0.5732,0.50085,0.54594,0.38788,1.10779,0.97662,1.20665,0.005545,0.005545,0.005545
47,4898.24,1.11196,0.97502,1.24505,0.61185,0.49995,0.55894,0.39237,1.13342,0.95421,1.215,0.005446,0.005446,0.005446
48,4986.2,1.12509,0.98101,1.25328,0.61527,0.49355,0.56158,0.39316,1.12101,0.94459,1.21124,0.005347,0.005347,0.005347
49,5125.68,1.10487,0.96663,1.23816,0.61858,0.50558,0.56647,0.40082,1.10201,0.93107,1.19925,0.005248,0.005248,0.005248
50,5213.24,1.11303,0.96001,1.23874,0.60852,0.50493,0.55338,0.39147,1.11145,0.94862,1.20597,0.005149,0.005149,0.005149
51,5301.98,1.10837,0.95969,1.23285,0.57957,0.4972,0.54461,0.3857,1.10525,0.96065,1.20361,0.00505,0.00505,0.00505
52,5430.01,1.12262,0.95052,1.23888,0.61305,0.48973,0.54308,0.38999,1.09639,0.94988,1.19609,0.004951,0.004951,0.004951
53,5540.91,1.09541,0.94626,1.23511,0.57913,0.52873,0.54632,0.38985,1.08871,0.95089,1.19063,0.004852,0.004852,0.004852
54,5689.97,1.09451,0.94966,1.23541,0.63171,0.49793,0.56862,0.40531,1.10193,0.91139,1.19749,0.004753,0.004753,0.004753
55,5786.56,1.10851,0.93675,1.23736,0.62392,0.49895,0.56278,0.3968,1.11886,0.93134,1.20314,0.004654,0.004654,0.004654
56,5884.44,1.10106,0.93373,1.22855,0.60518,0.50712,0.56702,0.40192,1.0959,0.92795,1.18832,0.004555,0.004555,0.004555
57,6021.18,1.09351,0.91753,1.22361,0.60751,0.50769,0.56135,0.39853,1.10407,0.92324,1.19365,0.004456,0.004456,0.004456
58,6120.68,1.08957,0.9167,1.2253,0.62463,0.51281,0.56726,0.40342,1.09501,0.91111,1.19141,0.004357,0.004357,0.004357
59,6226.56,1.08534,0.90745,1.22021,0.61819,0.50602,0.5602,0.3964,1.1027,0.92282,1.19737,0.004258,0.004258,0.004258
60,6325.93,1.08995,0.90352,1.22453,0.6112,0.51428,0.5675,0.40219,1.0994,0.91107,1.19297,0.004159,0.004159,0.004159
61,6425.95,1.07436,0.90262,1.21793,0.62499,0.51678,0.57012,0.40209,1.09813,0.9088,1.19041,0.00406,0.00406,0.00406
62,6539.38,1.08105,0.89202,1.21386,0.61486,0.51226,0.56757,0.4017,1.09342,0.90712,1.18737,0.003961,0.003961,0.003961
63,6644.23,1.07982,0.89928,1.2189,0.62337,0.52211,0.56747,0.40168,1.09382,0.90168,1.18665,0.003862,0.003862,0.003862
64,6793.47,1.07549,0.88618,1.2118,0.62834,0.50565,0.56938,0.40681,1.08768,0.90673,1.18179,0.003763,0.003763,0.003763
65,6904.99,1.07434,0.88538,1.21097,0.62498,0.50889,0.57049,0.40592,1.09254,0.89934,1.18499,0.003664,0.003664,0.003664
66,7006.09,1.09459,0.89061,1.21766,0.62227,0.51308,0.57178,0.40706,1.08518,0.89848,1.17957,0.003565,0.003565,0.003565
67,7105.76,1.04977,0.87096,1.20655,0.6416,0.50193,0.57619,0.41163,1.08166,0.89114,1.178,0.003466,0.003466,0.003466
68,7206.32,1.07356,0.86815,1.20981,0.62931,0.51307,0.57588,0.4118,1.08595,0.89276,1.17785,0.003367,0.003367,0.003367
69,7569.6,1.06694,0.8726,1.21289,0.63803,0.50665,0.58138,0.41612,1.08316,0.88776,1.18066,0.003268,0.003268,0.003268
70,7668.73,1.06724,0.86209,1.20506,0.63547,0.52263,0.58417,0.41894,1.0781,0.88657,1.17572,0.003169,0.003169,0.003169
71,7773.32,1.06833,0.85148,1.20164,0.64789,0.519,0.59034,0.42103,1.08876,0.88467,1.18042,0.00307,0.00307,0.00307
72,8087.7,1.06682,0.85614,1.20734,0.6482,0.51496,0.58911,0.42106,1.08116,0.88401,1.17786,0.002971,0.002971,0.002971
73,8199.01,1.05677,0.84708,1.20346,0.64749,0.51318,0.58857,0.41849,1.0848,0.87951,1.17863,0.002872,0.002872,0.002872
74,8300.06,1.06386,0.84305,1.19934,0.652,0.51381,0.5854,0.41731,1.08927,0.88573,1.18237,0.002773,0.002773,0.002773
75,8412.33,1.0535,0.83837,1.19686,0.64917,0.52556,0.58773,0.41998,1.08384,0.87961,1.17886,0.002674,0.002674,0.002674
76,8541.59,1.05339,0.8274,1.19276,0.65271,0.53942,0.5916,0.42157,1.08756,0.87055,1.18234,0.002575,0.002575,0.002575
77,8644,1.05381,0.83434,1.19713,0.65092,0.53137,0.59626,0.42428,1.08866,0.87122,1.18217,0.002476,0.002476,0.002476
78,8765.51,1.07143,0.83622,1.1954,0.63825,0.53135,0.59099,0.42208,1.08235,0.87089,1.17733,0.002377,0.002377,0.002377
79,8877.24,1.03027,0.81376,1.18338,0.62957,0.52625,0.58124,0.41486,1.0868,0.87758,1.17959,0.002278,0.002278,0.002278
80,9228.03,1.04561,0.82608,1.19621,0.64065,0.52677,0.58634,0.42008,1.08613,0.87387,1.1801,0.002179,0.002179,0.002179
81,9330.41,1.03309,0.80542,1.1848,0.63714,0.52817,0.58615,0.41827,1.08733,0.87521,1.17932,0.00208,0.00208,0.00208
82,9439.99,1.03784,0.8074,1.18449,0.6277,0.54675,0.58607,0.4187,1.08048,0.87835,1.17584,0.001981,0.001981,0.001981
